Canonical	Mappable	Mapped	Names	Description	Link
	0	0	Cirith Thoronath	The Eagles Cleft	http://www.glyphweb.com/arda/c/ciriththoronath.html
	0	0	City of the Kings / City of the Kings (Gondor)	A title of two cities	http://www.glyphweb.com/arda/c/cityofthekings.html
	0	0	Corollairë	The mound of the Two Trees	http://www.glyphweb.com/arda/c/corollaire.html
	0	0	Court of the Fountain	The lawn where the Dead Tree stood	http://www.glyphweb.com/arda/c/courtofthefountain.html
	0	0	Crissaegrim	The Abode of Eagles	http://www.glyphweb.com/arda/c/crissaegrim.html
	0	0	Crossings of Teiglin	The river-crossing under the eaves of Brethil	http://www.glyphweb.com/arda/c/crossingsofteiglin.html
	0	0	Deer's Leap	The chasm of Cabed-en-Aras	http://www.glyphweb.com/arda/d/deersleap.html
	0	0	Dimrost	The Rainy Stair	http://www.glyphweb.com/arda/d/dimrost.html
	0	0	Dolmed / Mount Dolmed	The central peak of the Blue Mountains	http://www.glyphweb.com/arda/d/dolmed.html
	0	0	Door of Night	The gateway to the Timeless Void	http://www.glyphweb.com/arda/d/doorofnight.html
	0	0	Doors of Felagund	The gateway of Nargothrond	http://www.glyphweb.com/arda/d/doorsoffelagund.html
	0	0	Doors of Nargothrond	The entrance to Finrod's citadel	http://www.glyphweb.com/arda/d/doorsofnargothrond.html
	0	0	Dor-nu-Fauglith	The desert land north of Beleriand	http://www.glyphweb.com/arda/d/dornufauglith.html
	0	0	Dry River	The entranceway to Turgons realm	http://www.glyphweb.com/arda/d/dryriver.html
	0	0	Duilwen	The fifth of Gelions six tributaries	http://www.glyphweb.com/arda/d/duilwen.html
	0	0	Dwarf-road of Beleriand	The Dwarves road westward from the Blue Mountains	http://www.glyphweb.com/arda/d/dwarfroad.html
	0	0	Echad i Sedryn	The Camp of the Faithful	http://www.glyphweb.com/arda/e/echadisedryn.html
	0	0	Echoing Hills	The western wall of Hithlum	http://www.glyphweb.com/arda/e/echoinghills.html
	0	0	Echoing Mountains	A name for the Ered Lómin	http://www.glyphweb.com/arda/e/echoingmountains.html
	0	0	Echoriath	The Encircling Mountains	http://www.glyphweb.com/arda/e/echoriath.html
	0	0	Eglarest	The Haven at Nennings mouth	http://www.glyphweb.com/arda/e/eglarest.html
	0	0	Eithel Ivrin	The source of the Narog	http://www.glyphweb.com/arda/e/eithelivrin.html
	0	0	Eithel Nínui	The Fountain of Tinúviel	http://www.glyphweb.com/arda/e/eithelninui.html
	0	0	Eithel Sirion	The source of the River Sirion	http://www.glyphweb.com/arda/e/eithelsirion.html
	0	0	Ekkaia	The Encircling Sea	http://www.glyphweb.com/arda/e/ekkaia.html
	0	0	Eldalondë	The haven on the Bay of Eldanna	http://www.glyphweb.com/arda/e/eldalonde.html
	0	0	Elenna	The island of Númenor	http://www.glyphweb.com/arda/e/elenna.html
	0	0	Elerrína	Crowned with Stars	http://www.glyphweb.com/arda/e/elerrina.html
	0	0	Enchanted Isles	Entrapments of the western seas	http://www.glyphweb.com/arda/e/enchantedisles.html
	0	0	Encircling Mountains	The protective mountains of Gondolin	http://www.glyphweb.com/arda/e/encirclingmountains.html
	0	0	Encircling Sea	The vast and bleak ocean that surrounded Arda	http://www.glyphweb.com/arda/e/encirclingsea.html
	0	0	Ephel Brandir	The stockade at the heart of Brethil	http://www.glyphweb.com/arda/e/ephelbrandir.html
	0	0	Ered Engrin	The Iron Mountains of the north	http://www.glyphweb.com/arda/e/eredengrin.html
	0	0	Ered Lómin	The western mountains of Hithlum	http://www.glyphweb.com/arda/e/eredlomin.html
	0	0	Eressëa / Tol Eressëa	The Lonely Isle	http://www.glyphweb.com/arda/t/toleressea.html
	0	0	Esgalduin / River Esgalduin	The river that flowed through Doriath	http://www.glyphweb.com/arda/e/esgalduin.html
	0	0	Evernight	A shadowy region of southern Aman	http://www.glyphweb.com/arda/e/evernight.html
	0	0	Everwhite / Mount Everwhite	A name for Taniquetil	http://www.glyphweb.com/arda/m/mounteverwhite.html
	0	0	Ezellohar	The Green Mound of the Two Trees	http://www.glyphweb.com/arda/e/ezellohar.html
	0	0	Falls of Ivrin	The source of the River Narog	http://www.glyphweb.com/arda/f/fallsofivrin.html
	0	0	Falls of Sirion	Sirions descent beneath the Andram	http://www.glyphweb.com/arda/f/fallsofsirion.html
	0	0	Faroth	A name for the hills above Nargothrond	http://www.glyphweb.com/arda/f/faroth.html
	0	0	Fens of Sirion	The marshland of the Aelin-uial	http://www.glyphweb.com/arda/f/fensofsirion.html
	0	0	Firth of Drengist	The landing-place of Fëanor in Middle-earth	http://www.glyphweb.com/arda/f/firthofdrengist.html
	0	0	Ford of Brithiach	A northern crossing of Sirion	http://www.glyphweb.com/arda/f/fordofbrithiach.html
	0	0	Fords of Aros	The crossings on the upper River Aros	http://www.glyphweb.com/arda/f/fordsofaros.html
	0	0	Forest between the Rivers / Forest Between the Rivers	Taur-im-Duinath	http://www.glyphweb.com/arda/f/forestbetweentherivers.html
	0	0	Formenos	The northern stronghold of Fëanor	http://www.glyphweb.com/arda/f/formenos.html
	0	0	Gabilgathol	The Dwarves own name for their city of Belegost	http://www.glyphweb.com/arda/g/gabilgathol.html
	0	0	Gasping Dust	The desert created in the Dagor Bragollach	http://www.glyphweb.com/arda/g/gaspingdust.html
	0	0	Gate of Steel	The last defence of Gondolin	http://www.glyphweb.com/arda/g/gateofsteel.html
	0	0	Gate of the Noldor	Annon-in-Gelydh	http://www.glyphweb.com/arda/g/gateofthenoldor.html
	0	0	Gates of Morning	The eastern gateway of the Sun	http://www.glyphweb.com/arda/g/gatesofmorning.html
	0	0	Gates of Sirion	Sirions emergence from beneath the Andram	http://www.glyphweb.com/arda/g/gatesofsirion.html
	0	0	Gelion / River Gelion	The river that marked Beleriands eastern border	http://www.glyphweb.com/arda/g/gelion.html
	0	0	Ginglith	A northern tributary of the Narog	http://www.glyphweb.com/arda/g/ginglith.html
	0	0	Glithui	A minor tributary of the Teiglin	http://www.glyphweb.com/arda/g/glithui.html
	0	0	Goldenbed	The later name of the River Ascar	http://www.glyphweb.com/arda/g/goldenbed.html
	0	0	Gondolin	Turgons Hidden Refuge	http://www.glyphweb.com/arda/g/gondolin.html
	0	0	Great Gate of Gondolin	Maeglin's Gate of Steel	http://www.glyphweb.com/arda/g/greatgateofgondolin.html
	0	0	Great Hall of Thráin	The seat of the Kings under the Mountain	http://www.glyphweb.com/arda/g/greathallofthrain.html
	0	0	Great Lake	The lake that held the island of Almaren	http://www.glyphweb.com/arda/g/greatlake.html
	0	0	Greater Gelion	The greater of Gelions two source-rivers	http://www.glyphweb.com/arda/g/greatergelion.html
	0	0	Green Mound	The mound of the Two Trees	http://www.glyphweb.com/arda/g/greenmound.html
	0	0	Grimslade	The home of Grimbold	http://www.glyphweb.com/arda/g/grimslade.html
	0	0	Grindwall	A landing on the Withywindle	http://www.glyphweb.com/arda/g/grindwall.html
	0	0	Guarded Plain	The plain of Talath Dirnen	http://www.glyphweb.com/arda/g/guardedplain.html
	0	0	Hallow of Eru	The summit of the Meneltarma	http://www.glyphweb.com/arda/h/hallowoferu.html
	0	0	Halls of Mandos	The Houses of the Dead	http://www.glyphweb.com/arda/h/hallsofmandos.html
	0	0	Halls of Waiting	The abode of Mandos	http://www.glyphweb.com/arda/h/hallsofwaiting.html
	0	0	Haudh-en-Arwen	The Ladybarrow of Brethil	http://www.glyphweb.com/arda/h/haudhenarwen.html
	0	0	Haudh-en-Elleth	The grave-mound of Finduilas	http://www.glyphweb.com/arda/h/haudhenelleth.html
	0	0	Haudh-en-Ndengin	The Hill of Slain	http://www.glyphweb.com/arda/h/haudhenndengin.html
	0	0	Haudh-en-Nirnaeth	The Hill of Tears	http://www.glyphweb.com/arda/h/haudhennirnaeth.html
	0	0	Haven of the Swans	The haven of the Teleri on the shores of Aman	http://www.glyphweb.com/arda/h/havenoftheswans.html
	0	0	Havens of the Falas	The sea-cities of Círdan	http://www.glyphweb.com/arda/h/havens.html
	0	0	Hells of Iron	Morgoths fortress of Angband	http://www.glyphweb.com/arda/h/hellsofiron.html
	0	0	Hidden City	A name for Gondolin	http://www.glyphweb.com/arda/h/hiddencity.html
	0	0	Hidden Rock	"Gondolin, and Amon Gwareth on which it stood"	http://www.glyphweb.com/arda/h/hiddenrock.html
	0	0	High Faroth	The Hills of the Hunters above Nargothrond	http://www.glyphweb.com/arda/h/highfaroth.html
	0	0	Hill of Himring	The site of Maedhros capital	http://www.glyphweb.com/arda/h/hillofhimring.html
	0	0	Hill of Ilmarin	The Mountain of Manwë	http://www.glyphweb.com/arda/h/hillofilmarin.html
	0	0	Hill of Spies	The guard-hill of Nargothrond	http://www.glyphweb.com/arda/h/hillofspies.html
	0	0	Himring	The hill where Maedhros fortress stood	http://www.glyphweb.com/arda/h/himring.html
	0	0	Hollowbold	A Dwarvish citadel among the Blue Mountains	http://www.glyphweb.com/arda/h/hollowbold.html
	0	0	Holy Mountain: Meneltarma / Holy Mountain (Meneltarma)	The Pillar of Heaven	http://www.glyphweb.com/arda/h/holymountain2.html
	0	0	Holy Mountain: Taniquetil / Holy Mountain (Taniquetil)	The abode of Manwë and Varda	http://www.glyphweb.com/arda/h/holymountain.html
	0	0	House of Ransom	The house of the treacherous Petty-dwarf	http://www.glyphweb.com/arda/h/houseofransom.html
	0	0	House of the Stewards / House of the Stewards (tomb)	Last resting-place of the Stewards of Gondor	http://www.glyphweb.com/arda/h/houseofstewards.html
	0	0	Hyarmentir	A peak on the borders of Valinor	http://www.glyphweb.com/arda/h/hyarmentir.html
	0	0	Iant Iaur	The old stone bridge over the Esgalduin	http://www.glyphweb.com/arda/i/iantiaur.html
	0	0	Ilmarin	The halls of Manwë and Varda	http://www.glyphweb.com/arda/i/ilmarin.html
	0	0	Iron Mountains	The mountain-fence of Utumno	http://www.glyphweb.com/arda/i/ironmountains.html
	0	0	Isle of Balar	The refuge of Círdan	http://www.glyphweb.com/arda/b/balar.html
	0	0	Isle of Meneltarma	The summit of the Pillar of Heaven	http://www.glyphweb.com/arda/i/isleofmeneltarma.html
	0	0	Isle of Werewolves	"Tol-in-Gaurhoth, the island of Sauron"	http://www.glyphweb.com/arda/i/isleofwerewolves.html
	0	0	Isles of the West	The islands of Eldamar	http://www.glyphweb.com/arda/i/islesofthewest.html
	0	0	Ivrin	The pools at the source of the Narog	http://www.glyphweb.com/arda/i/ivrin.html
	0	0	King’s Court / King's Court	The courts of the Kings of Númenor	http://www.glyphweb.com/arda/k/kingscourt.html
	0	0	Ladybarrow	The green grave of Haleth	http://www.glyphweb.com/arda/l/ladybarrow.html
	0	0	Land of Gift	"Andor, a name for the island of Númenor"	http://www.glyphweb.com/arda/l/landofgift.html
	0	0	Lanthir Lamath	The fall beside the house of Dior	http://www.glyphweb.com/arda/l/lanthirlamath.html
	0	0	Last Desert	The barren lands of the distant east	http://www.glyphweb.com/arda/l/lastdesert.html
	0	0	Last Gate	The Seventh of the Seven Gates of Gondolin	http://www.glyphweb.com/arda/l/lastgate.html
	0	0	Last Shore	The coastlands of Eldamar	http://www.glyphweb.com/arda/l/lastshore.html
	0	0	Legolin	Third of Gelions six tributaries	http://www.glyphweb.com/arda/l/legolin.html
	0	0	Linaewen	The lake of birds	http://www.glyphweb.com/arda/l/linaewen.html
	0	0	Little Gelion	The lesser of Gelions two sources	http://www.glyphweb.com/arda/l/littlegelion.html
	0	0	Lonely Isle	The island of Tol Eressëa	http://www.glyphweb.com/arda/l/lonelyisle.html
	0	0	Long Wall	The Andram of Beleriand	http://www.glyphweb.com/arda/l/longwall.html
	0	0	Lórellin	The shaded lake of Lórien	http://www.glyphweb.com/arda/l/lorellin.html
	0	0	Lothlann	"The wide, empty plain north of the March of Maedhros"	http://www.glyphweb.com/arda/l/lothlann.html
	0	0	Malduin	A northern tributary of the Teiglin	http://www.glyphweb.com/arda/m/malduin.html
	0	0	Menegroth	The Thousand Caves of Doriath	http://www.glyphweb.com/arda/m/menegroth.html
	0	0	Meneltarma	The Pillar of Heaven	http://www.glyphweb.com/arda/m/meneltarma.html
	0	0	Meres of Twilight	The lakeland region of Aelin-uial	http://www.glyphweb.com/arda/m/meresoftwilight.html
	0	0	Methed-en-glad	The End of the Wood	http://www.glyphweb.com/arda/m/methedenglad.html
	0	0	"Minas Tirith / Minas Tirith, Beleriand"	The tower that guarded the Pass of Sirion	http://www.glyphweb.com/arda/m/minastirith1.html
	0	0	Mindeb	A lesser tributary of the Sirion	http://www.glyphweb.com/arda/m/mindeb.html
	0	0	Mindon Eldaliéva	The Tower of Ingwë in Tirion	http://www.glyphweb.com/arda/m/mindoneldalieva.html
	0	0	Mithrim / Lake Mithrim	The lake to the north of the land of Mithrim	http://www.glyphweb.com/arda/l/lakemithrim.html
	0	0	Moors of the Nibin-noeg	Lost lands of the Petty-dwarves	http://www.glyphweb.com/arda/m/moorsofthenibinnoeg.html
	0	0	Morthond / River Morthond	The river of the Blackroot Vale	http://www.glyphweb.com/arda/m/morthond.html
	0	0	Mound of the Elf-maid	The grave of Finduilas	http://www.glyphweb.com/arda/m/moundoftheelfmaid.html
	0	0	Mountain of Manwë	The peak of the Elder King	http://www.glyphweb.com/arda/m/mountainofmanwe.html
	0	0	Mountain Wall	A poetic name for the Pelóri	http://www.glyphweb.com/arda/m/mountainwall.html
	0	0	Mountains of Aman	The defences of Valinor	http://www.glyphweb.com/arda/m/mountainsofaman.html
	0	0	Mountains of Defence	The Pelóri of Aman	http://www.glyphweb.com/arda/m/mountainsofdefence.html
	0	0	Mouths of Sirion	Haven of the Exiles of Gondolin	http://www.glyphweb.com/arda/m/mouthsofsirion.html
	0	0	Nan Dungortheb	The dreadful valley north of Doriath	http://www.glyphweb.com/arda/n/nandungortheb.html
	0	0	Nan Elmoth	The forest on the banks of the River Celon	http://www.glyphweb.com/arda/n/nanelmoth.html
	0	0	Nargothrond	The hidden fortress on the River Narog	http://www.glyphweb.com/arda/n/nargothrond.html
	0	0	Narog / River Narog	One of the great rivers of Beleriand	http://www.glyphweb.com/arda/n/narog.html
	0	0	Narrow Ice	Bilbos name for the Helcaraxë	http://www.glyphweb.com/arda/n/narrowice.html
	0	0	Neldoreth	"The lesser, northern forest of Doriath"	http://www.glyphweb.com/arda/n/neldoreth.html
	0	0	Nen Girith	The Shuddering Water	http://www.glyphweb.com/arda/n/nengirith.html
	0	0	Nen Lalaith	The laughing stream	http://www.glyphweb.com/arda/n/nenlalaith.html
	0	0	Nenning / River Nenning	The river that met the Sea at Eglarest	http://www.glyphweb.com/arda/n/nenning.html
	0	0	Nimbrethil	The birchwoods of Arvernien	http://www.glyphweb.com/arda/n/nimbrethil.html
	0	0	Nindamos	A shoreland settlement of southern Númenor	http://www.glyphweb.com/arda/n/nindamos.html
	0	0	Nísinen	The fragrant lake above Eldalondë	http://www.glyphweb.com/arda/n/nisinen.html
	0	0	Nivrim	The westernmost woods of Doriath	http://www.glyphweb.com/arda/n/nivrim.html
	0	0	Nogrod	Ancient citadel of the Dwarves	http://www.glyphweb.com/arda/n/nogrod.html
	0	0	Noirinan	The Valley of the Tombs	http://www.glyphweb.com/arda/n/noirinan.html
	0	0	North Cape	The northernmost tip of the isle of Númenor	http://www.glyphweb.com/arda/n/northcape.html
	0	0	Núath	The woodlands south of Nevrast	http://www.glyphweb.com/arda/n/nuath.html
	0	0	Nulukkizdîn	A settlement of the Petty-dwarves	http://www.glyphweb.com/arda/n/nulukkizdin.html
	0	0	Númenor	Ancient home of the Dúnedain	http://www.glyphweb.com/arda/n/numenor.html
	0	0	Númenórë	The Quenya form of the name Númenor	http://www.glyphweb.com/arda/n/numenore.html
	0	0	Nunduinë	The river of Eldalondë	http://www.glyphweb.com/arda/n/nunduine.html
	0	0	Oiolossë	The high seat of Manwë and Varda	http://www.glyphweb.com/arda/o/oiolosse.html
	0	0	Ondolindë	Rock of the Music of Water	http://www.glyphweb.com/arda/o/ondolinde.html
	0	0	Ondosto	The chief city of the Forostar	http://www.glyphweb.com/arda/o/ondosto.html
	0	0	Orfalch Echor	The Way of Escape	http://www.glyphweb.com/arda/o/orfalchechor.html
	0	0	Orocarni	The red mountains above Cuiviénen	http://www.glyphweb.com/arda/o/orocarni.html
	0	0	Orod-na-Th&#244;n / Orod-na-Thôn	A mountain of Dorthonion	http://www.glyphweb.com/arda/o/orodnathon.html
	0	0	Oromet	The hill on which Tar-Minastir's tower stood	http://www.glyphweb.com/arda/o/oromet.html
	0	0	Outer Sea	The Encircling Sea of the World	http://www.glyphweb.com/arda/o/outersea.html
	0	0	Pass of Aglon	The narrow pass west of the March of Maedhros	http://www.glyphweb.com/arda/p/passofaglon.html
	0	0	Pass of Light	The deep cleft in the Pelóri	http://www.glyphweb.com/arda/p/passoflight.html
	0	0	Pass of Sirion	The northern pass guarded by the first Minas Tirith	http://www.glyphweb.com/arda/p/passofsirion.html
	0	0	Pelóri	The Mountains of Defence	http://www.glyphweb.com/arda/p/pelori.html
	0	0	Pillar of Heaven	The Meneltarma of Númenor	http://www.glyphweb.com/arda/p/pillarofheaven.html
	0	0	Pools of Ivrin	The waters at the Sources of Narog	http://www.glyphweb.com/arda/p/poolsofivrin.html
	0	0	Ramdal	Walls End	http://www.glyphweb.com/arda/r/ramdal.html
	0	0	Ras Morthil	The northwestern limit of the Bay of Belfalas	http://www.glyphweb.com/arda/r/rasmorthil.html
	0	0	Rathlóriel	Goldenbed	http://www.glyphweb.com/arda/r/rathloriel.html
	0	0	Ravines of Teiglin	The thundering chasms south of Brethil	http://www.glyphweb.com/arda/r/ravinesofteiglin.html
	0	0	Region / Forest of Region	The greater part of the Kingdom of Doriath	http://www.glyphweb.com/arda/r/region.html
	0	0	"Ring of Doom / Ring of Doom, Máhanaxar"	The Máhanaxar	http://www.glyphweb.com/arda/r/ringofdoom.html
	0	0	Ringwil	The stream that fell from the High Faroth	http://www.glyphweb.com/arda/r/ringwil.html
	0	0	Rivil / River Rivil	Sirions northernmost tributary	http://www.glyphweb.com/arda/r/rivil.html
	0	0	Rivil's Well	The source of the River Rivil	http://www.glyphweb.com/arda/r/rivilswell.html
	0	0	Rock of the Music of Water	An old name for the fountained city of Gondolin	http://www.glyphweb.com/arda/r/rockofthemusicofwater.html
	0	0	Rómenna	The royal haven of Númenor	http://www.glyphweb.com/arda/r/romenna.html
	0	0	Sauron’s Isle / Sauron's Isle	The island of Tol-in-Gaurhoth	http://www.glyphweb.com/arda/s/sauronsisle.html
	0	0	Serech / Fen of Serech	Scene of Barahirs rescue of Finrod	http://www.glyphweb.com/arda/s/serech.html
	0	0	Seven Gates of Gondolin	The guarded way into Hidden City	http://www.glyphweb.com/arda/s/sevengates.html
	0	0	Seven Rivers of Ossir	The River Gelion and its six tributaries	http://www.glyphweb.com/arda/s/sevenriversofossir.html
	0	0	"Seventh Gate / Seventh Gate, Gondolin"	The Last Gate of Gondolin	http://www.glyphweb.com/arda/s/seventhgate.html
	0	0	Shadowmere	A lake of Aman	http://www.glyphweb.com/arda/s/shadowmere.html
	0	0	Shadowy Mountains	The bulwark of Hithlum	http://www.glyphweb.com/arda/s/shadowymountains.html
	0	0	Shadowy Seas	The seas to the east of Aman	http://www.glyphweb.com/arda/s/shadowyseas.html
	0	0	Sharbhund	Mîms name for Amon Rûdh	http://www.glyphweb.com/arda/s/sharbhund.html
	0	0	Siril / River Siril	The major river of the island of Númenor	http://www.glyphweb.com/arda/s/siril.html
	0	0	Sirion / River Sirion	The great river of Beleriand	http://www.glyphweb.com/arda/s/sirion.html
	0	0	Sorontil	The northern height of Númenor	http://www.glyphweb.com/arda/s/sorontil.html
	0	0	Sources of Narog	The springs of Eithel Ivrin	http://www.glyphweb.com/arda/s/sourcesofnarog.html
	0	0	"South Road / South Road, Beleriand"	The road that ran to Nargothrond	http://www.glyphweb.com/arda/s/southroad.html
	0	0	Spyhill	The watch-mound of Nargothrond	http://www.glyphweb.com/arda/s/spyhill.html
	0	0	Starwards	"Elenna, a name for the island of Númenor"	http://www.glyphweb.com/arda/s/starwards.html
	0	0	Stone of the Hapless	Memorial to the family of Húrin	http://www.glyphweb.com/arda/s/stoneofthehapless.html
	0	0	Sundering Seas	The trackless oceans that sundered Aman from Middle-earth	http://www.glyphweb.com/arda/s/sunderingseas.html
	0	0	Swanhaven	The haven of the Teleri in Aman	http://www.glyphweb.com/arda/s/swanhaven.html
	0	0	Talath Dirnen	The Guarded Plain	http://www.glyphweb.com/arda/t/talathdirnen.html
	0	0	Talath Rhúnen	The East Vale	http://www.glyphweb.com/arda/t/talathrhunen.html
	0	0	Taniquetil	The lofty dwelling of Manwë and Varda	http://www.glyphweb.com/arda/t/taniquetil.html
	0	0	Taras / Mount Taras	The seaward peak of Nevrast	http://www.glyphweb.com/arda/t/taras.html
	0	0	Taras-ness	The headland on which Vinyamar was built	http://www.glyphweb.com/arda/t/tarasness.html
	0	0	Tarmasundar	The Roots of the Pillar of Heaven	http://www.glyphweb.com/arda/t/tarmasundar.html
	0	0	Taur-en-Faroth	The high woodland above the gates of Nargothrond	http://www.glyphweb.com/arda/t/taurenfaroth.html
	0	0	Taur-im-Duinath	The Forest between the Rivers	http://www.glyphweb.com/arda/t/taurimduinath.html
	0	0	Taur-na-neldor	A forest of lost Beleriand	http://www.glyphweb.com/arda/t/taurnaneldor.html
	0	0	Teiglin / River Teiglin	The river that ran through Brethil	http://www.glyphweb.com/arda/t/teiglin.html
	0	0	Thalos	Second of the tributaries of Gelion	http://www.glyphweb.com/arda/t/thalos.html
	0	0	Thangorodrim	The three towering peaks above Angbands gates	http://www.glyphweb.com/arda/t/thangorodrim.html
	0	0	The Mountain / Mountain	Lofty seat of Manwë and Varda	http://www.glyphweb.com/arda/m/mountain.html
	0	0	The Tongue / Tongue	The southeastern limit of Lórien	http://www.glyphweb.com/arda/t/tongue.html
	0	0	Thousand Caves	Thingols carven citadel at Menegroth	http://www.glyphweb.com/arda/t/thousandcaves.html
	0	0	Timeless Halls / Timeless Halls (in the Void)	The dwellings of the Ainur beyond Eä	http://www.glyphweb.com/arda/t/timelesshalls.html
	0	0	Tirion	The city of the Elves in Aman	http://www.glyphweb.com/arda/t/tirion.html
	0	0	Tol Fuin	The remnant of Taur-nu-Fuin	http://www.glyphweb.com/arda/t/tolfuin.html
	0	0	Tol Galen	The river-isle where Beren and Lúthien lived out their days	http://www.glyphweb.com/arda/t/tolgalen.html
	0	0	Tol Morwen	A survivor of the wreck of Beleriand	http://www.glyphweb.com/arda/t/tolmorwen.html
	0	0	Tol Sirion	The island where the first Minas Tirith stood	http://www.glyphweb.com/arda/t/tolsirion.html
	0	0	Tol Uinen	An island in the bay of Rómenna	http://www.glyphweb.com/arda/t/toluinen.html
	0	0	Tol-in-Gaurhoth	The Isle of Werewolves	http://www.glyphweb.com/arda/t/tolingaurhoth.html
	0	0	Tower of Avallónë	The tower of the Elf-haven of Tol Eressëa	http://www.glyphweb.com/arda/t/towerofavallone.html
	0	0	Tower of Ingwë	The Mindon Eldaliéva of Tirion	http://www.glyphweb.com/arda/t/towerofingwe.html
	0	0	Tower of the Dome of Osgiliath	A landmark of Gondor's old chief city	http://www.glyphweb.com/arda/t/towerofthedomeofosgiliath.html
	0	0	Tower of the King	Turgons great tower in Gondolin	http://www.glyphweb.com/arda/t/toweroftheking.html
	0	0	Tumhalad	A field to the north of Nargothrond	http://www.glyphweb.com/arda/t/tumhalad.html
	0	0	"Tumladen, Beleriand / Tumladen, Gondolin"	The valley of Gondolin	http://www.glyphweb.com/arda/t/tumladen.html
	0	0	Túna	The hill on which Tirion stood	http://www.glyphweb.com/arda/t/tuna.html
	0	0	Túr Haretha / Tûr Haretha	The Ladybarrow of Brethil	http://www.glyphweb.com/arda/t/turharetha.html
	0	0	Twilight Meres	The shaded waterways of the Aelin-uial	http://www.glyphweb.com/arda/t/twilightmeres.html
	0	0	Twilit Meres	The pools of the Aelin-uial	http://www.glyphweb.com/arda/t/twilitmeres.html
	0	0	Utumno	The original stronghold of Melkor	http://www.glyphweb.com/arda/u/utumno.html
	0	0	Vale of Narog	The course of Narog through West Beleriand	http://www.glyphweb.com/arda/v/valeofnarog.html
	0	0	Vales of Sirion / Vale(s) of Sirion	The wide valley that ran north to south through Beleriand	http://www.glyphweb.com/arda/v/valesofsirion.html
	0	0	Valimar	A name for the city of the Valar	http://www.glyphweb.com/arda/v/valimar.html
	0	0	Valmar	The city of the Valar	http://www.glyphweb.com/arda/v/valmar.html
	0	0	Vinyalondë	The ancient haven at the mouth of the Gwathló	http://www.glyphweb.com/arda/v/vinyalonde.html
	0	0	Vinyamar	The city of Turgon in Nevrast	http://www.glyphweb.com/arda/v/vinyamar.html
	0	0	Wall’s End / Wall's End	The eastern end of the Long Wall	http://www.glyphweb.com/arda/w/wallsend.html
	0	0	Walls of Night	The ancient boundaries of Arda	http://www.glyphweb.com/arda/w/wallsofnight.html
	0	0	Walls of the World	The ends of Arda	http://www.glyphweb.com/arda/w/wallsoftheworld.html
	0	0	Westernesse	The land of Númenor	http://www.glyphweb.com/arda/w/westernesse.html
	0	0	White House of Erendis	The sanctuary of Erendis and Ancalimë	http://www.glyphweb.com/arda/w/whitehouseoferendis.html
	0	0	White Mountain	A name of Taniquetil	http://www.glyphweb.com/arda/w/whitemountain.html
	0	0	Whitfurrows	A village of the Eastfarthing	http://www.glyphweb.com/arda/w/whitfurrows.html
	0	0	Wild Wood	The fabulous forest of eastern Middle-earth	http://www.glyphweb.com/arda/w/wildwood.html
	0	0	Y&#244;zâyan / Yôzâyan	The Land of Gift	http://www.glyphweb.com/arda/y/yozayan.html
	0	0	Kingsland		http://www.glyphweb.com/arda/k/kingsland.html
	0	0	Aman		http://www.glyphweb.com/arda/a/aman.html
	0	0	Orrostar		http://www.glyphweb.com/arda/o/orrostar.html
	0	0	North (realm of Morgoth)		http://www.glyphweb.com/arda/n/north.html
	0	0	Laurelindórenan		http://www.glyphweb.com/arda/l/laurelindorenan.html
	0	0	Faerie		http://www.glyphweb.com/arda/f/faerie.html
	0	0	Water of Awakening		http://www.glyphweb.com/arda/w/waterofawakening.html
	0	0	Númenórean Realms		http://www.glyphweb.com/arda/n/numenoreanrealms.html
	0	0	Hithlum		http://www.glyphweb.com/arda/h/hithlum.html
	0	0	Elvenesse		http://www.glyphweb.com/arda/e/elvenesse.html
	0	0	Northlands (Forostar)		http://www.glyphweb.com/arda/n/northlandsnumenor.html
	0	0	Eldamar		http://www.glyphweb.com/arda/e/eldamar.html
	0	0	Mar-nu-Falmar		http://www.glyphweb.com/arda/m/marnufalmar.html
	0	0	Sarch nia Hîn Húrin		http://www.glyphweb.com/arda/s/sarchniahinhurin.html
	0	0	Circles of the World		http://www.glyphweb.com/arda/c/circlesoftheworld.html
	0	0	West		http://www.glyphweb.com/arda/w/west.html
	0	0	"Lórien, Valinor"		http://www.glyphweb.com/arda/l/lorienvalinor.html
	0	0	Dor-lómin		http://www.glyphweb.com/arda/d/dorlomin.html
	0	0	Empty Lands		http://www.glyphweb.com/arda/e/emptylands.html
	0	0	Beleriand		http://www.glyphweb.com/arda/b/beleriand.html
	0	0	Blessed Realm		http://www.glyphweb.com/arda/b/blessedrealm.html
	0	0	Undying Lands		http://www.glyphweb.com/arda/u/undyinglands.html
	0	0	Norland		http://www.glyphweb.com/arda/n/norland.html
	0	0	Helcaraxë		http://www.glyphweb.com/arda/h/helcaraxe.html
	0	0	Dor Daedeloth		http://www.glyphweb.com/arda/d/dordaedeloth.html
	0	0	Ossiriand		http://www.glyphweb.com/arda/o/ossiriand.html
	0	0	Nameless Land		http://www.glyphweb.com/arda/n/namelessland.html
	0	0	Dorthonion		http://www.glyphweb.com/arda/d/dorthonion.html
	0	0	Andustar		http://www.glyphweb.com/arda/a/andustar.html
	0	0	Arda		http://www.glyphweb.com/arda/a/arda.html
